Qty_Selected_LED_Indexes,Qty_Available_LED_Indexes,total_surface_lambertian_score,normalised_stdev_n,normalised_stdev_n_intensity,MEAN_INTENSITY,UNIFORM_LED_INTENSITIES,coefficient_of_stdev,coefficient_of_iqr_median,surface_mean_score,surface_stdev,surface_median,surface_iqrange,surface_min,surface_max,Evaluator_Shortname,source_filename,Evaluator_ClassName,frame_objfilename,frame_scale,obj.TARGET_SHAPE,obj.TARGET_SCALE,obj.TARGET_TRANSLATION,surfaces_raw_data,timestamp,light_indexes,light_vertices,light_intensities
44,92,1666.9045648426788,0.0059139831550535866,0.0059139831550535866,1.0,True,0.028099237098462806,0.040403724802216434,9.26058091579266,0.2602152588223578,9.269134311043718,0.3745075518581924,8.766060320591272,9.88844216605644,LED Vertex Positions from Indexes.,../results/Control_91-92_March2017/Results_Illuminance__Tuned_VertexIndexPositionEvaluator_44_92_0.0147788148161_2019-06-29-22-11-26.csv,VertexIndexPositionEvaluator,../models/dome/dome_c.obj,8.0,../models/dome/dome_c.obj,1,"(0,0,0)","[9.502131491529937, 9.33193806588872, 9.44089585149112, 9.326285843883161, 9.29903106191536, 9.132986191892787, 9.376098962556812, 9.272972704053686, 9.08404779104974, 9.32043233910297, 9.142883104412661, 9.181470185527589, 9.060210333066818, 9.298169356193686, 9.226805273354419, 9.284411342276641, 9.30761198030538, 9.127154731742904, 9.125193657082773, 8.925672793084962, 9.02355612267024, 8.890011223474827, 9.047222920270421, 9.113352915037572, 9.230712936764244, 9.126619327995265, 9.167064427901948, 9.178201658413581, 9.134650911791661, 9.036878909991936, 9.240924182462113, 9.322172894004694, 9.372113526541355, 9.359469161769752, 9.725644770528355, 9.515025608211031, 9.401852793613074, 9.586169104317309, 8.970845995572093, 8.766060320591274, 8.767282238121656, 8.800136273084778, 8.806471802862871, 8.94803405468633, 9.0248217247562, 9.141743450376863, 9.289792806306258, 9.4324658113615, 9.304331343884435, 9.460291006324868, 9.265295918033752, 9.418064988813155, 9.58795780396315, 9.379434915194603, 9.235827501918815, 8.884891562212855, 9.00473154945184, 9.1552396586074, 9.170222290027258, 9.566135779798715, 9.562766271733782, 9.88844216605644, 9.820121826067378, 9.764844027857713, 9.662472489904323, 9.471281909498465, 9.191017455767888, 9.066388299632926, 8.849708908173525, 8.784016076816734, 8.88018715623204, 8.947861051493964, 8.944566399619166, 9.170259933094199, 9.25265137767129, 9.53499193595823, 9.685286862933419, 9.464442041703753, 9.540689133017954, 9.423957819491525, 9.354848113027877, 9.515377289617826, 9.485605079138814, 9.317094906359543, 9.066388299632926, 8.880187156232042, 8.933051700665132, 9.057348175282787, 8.947861051493964, 9.284260212538657, 9.170259933094199, 9.68528686293342, 9.769160193916026, 9.540689133017953, 9.464442041703752, 9.604322250228789, 9.607136105717126, 9.485605079138814, 9.317094906359547, 9.235827501918813, 9.3794349151946, 8.93305170066513, 9.057348175282785, 9.170222290027262, 9.284260212538655, 9.562766271733782, 9.566135779798717, 9.769160193916026, 9.888442166056436, 9.662472489904323, 9.604322250228789, 9.607136105717125, 9.471281909498463, 9.19101745576789, 8.970845995572095, 8.849708908173527, 8.784016076816735, 8.806471802862871, 8.800136273084778, 8.944566399619164, 8.948034054686332, 9.252651377671288, 9.534991935958228, 9.432465811361501, 9.289792806306256, 9.460291006324868, 9.423957819491521, 9.354848113027879, 9.515377289617822, 9.587957803963151, 9.418064988813157, 9.036878909991936, 8.884891562212855, 9.004731549451838, 9.1552396586074, 9.372113526541355, 9.322172894004694, 9.725644770528357, 9.359469161769754, 9.82012182606738, 9.764844027857713, 9.58616910431731, 9.401852793613074, 9.125193657082773, 9.127154731742907, 8.766060320591272, 8.767282238121656, 8.890011223474827, 9.023556122670241, 9.0248217247562, 9.141743450376861, 9.230712936764242, 9.304331343884437, 9.167064427901945, 9.26529591803375, 9.178201658413583, 9.134650911791663, 9.226805273354415, 9.240924182462113, 9.284411342276638, 9.37609896255681, 9.307611980305381, 9.515025608211033, 9.272972704053684, 9.440895851491119, 9.502131491529937, 9.084047791049741, 8.925672793084964, 9.142883104412663, 9.047222920270421, 9.113352915037572, 9.18147018552759, 9.126619327995266, 9.060210333066818, 9.132986191892785, 9.298169356193684, 9.331938065888718, 9.299031061915356, 9.32043233910297, 9.32628584388316]",2019-07-12-11-11-39,"[2, 5, 7, 9, 11, 12, 15, 17, 19, 21, 22, 23, 26, 27, 29, 30, 31, 33, 35, 39, 41, 44, 47, 50, 52, 56, 58, 60, 61, 62, 64, 65, 68, 69, 70, 72, 74, 76, 79, 80, 82, 84, 86, 89]","[[0.0, 8.0, 0.0], [2.611816, 7.513872, -0.848632], [0.0, 7.513872, -2.746232], [-2.611816, 7.513872, -0.848632], [-1.614192, 7.513872, 2.221744], [1.614192, 7.513872, 2.221744], [5.22364, 5.816608, -1.697264], [2.854576, 6.357232, -3.928984], [0.0, 5.816608, -5.492456], [-2.854576, 6.357232, -3.928984], [-5.22364, 5.816608, -1.697264], [-4.6188, 6.357232, 1.500736], [-3.228384, 5.816608, 4.443488], [0.0, 6.357232, 4.856496], [3.228384, 5.816608, 4.443488], [4.6188, 6.357232, 1.500736], [5.22364, 4.119344, -4.443488], [2.611816, 4.119344, -6.341088], [0.0, 3.577712, -7.155416], [-2.611816, 4.119344, -6.341088], [-5.22364, 4.119344, -4.443488], [-6.805208, 3.577712, -2.211144], [-6.837832, 4.119344, 0.52448], [-5.840208, 4.119344, 3.594864], [-4.205848, 3.577712, 5.788856], [-1.614192, 4.119344, 6.66524], [1.614192, 4.119344, 6.66524], [4.205848, 3.577712, 5.788856], [5.840208, 4.119344, 3.594864], [6.837832, 4.119344, 0.52448], [6.805208, 3.577712, -2.211144], [6.837832, 1.373112, -3.919008], [4.6188, 1.500736, -6.357232], [1.614192, 1.373112, -7.7142], [-1.614192, 1.373112, -7.7142], [-4.6188, 1.500736, -6.357232], [-6.837832, 1.373112, -3.919008], [-7.835456, 1.373112, -0.848632], [-7.473376, 1.500736, 2.428248], [-5.840208, 1.373112, 5.29212], [-3.228384, 1.373112, 7.18972], [0.0, 1.500736, 7.857976], [3.228384, 1.373112, 7.18972], [5.840208, 1.373112, 5.29212], [7.473376, 1.500736, 2.428248], [7.835456, 1.373112, -0.848632], [-7.835456, -1.373112, 0.848632], [-7.473376, -1.500736, -2.428248], [-5.840208, -1.373112, -5.29212], [-3.228384, -1.373112, -7.18972], [0.0, -1.500736, -7.857976], [3.228384, -1.373112, -7.18972], [5.840208, -1.373112, -5.29212], [7.473376, -1.500736, -2.428248], [7.835456, -1.373112, 0.848632], [6.837832, -1.373112, 3.919008], [4.6188, -1.500736, 6.357232], [1.614192, -1.373112, 7.7142], [-1.614192, -1.373112, 7.7142], [-4.6188, -1.500736, 6.357232], [-6.837832, -1.373112, 3.919008], [-6.805208, -3.577712, 2.211144], [-6.837832, -4.119344, -0.52448], [-5.840208, -4.119344, -3.594864], [-4.205848, -3.577712, -5.788856], [-1.614192, -4.119344, -6.66524], [1.614192, -4.119344, -6.66524], [4.205848, -3.577712, -5.788856], [5.840208, -4.119344, -3.594864], [6.837832, -4.119344, -0.52448], [6.805208, -3.577712, 2.211144], [5.22364, -4.119344, 4.443488], [2.611816, -4.119344, 6.341088], [0.0, -3.577712, 7.155416], [-2.611816, -4.119344, 6.341088], [-5.22364, -4.119344, 4.443488], [-4.6188, -6.357232, -1.500736], [-3.228384, -5.816608, -4.443488], [0.0, -6.357232, -4.856496], [3.228384, -5.816608, -4.443488], [4.6188, -6.357232, -1.500736], [5.22364, -5.816608, 1.697264], [2.854576, -6.357232, 3.928984], [0.0, -5.816608, 5.492456], [-2.854576, -6.357232, 3.928984], [-5.22364, -5.816608, 1.697264], [-1.614192, -7.513872, -2.221744], [1.614192, -7.513872, -2.221744], [2.611816, -7.513872, 0.848632], [0.0, -7.513872, 2.746232], [-2.611816, -7.513872, 0.848632], [0.0, -8.0, -0.0]]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
44,92,1667.1017115941627,0.004603014831367747,0.004603014831367747,1.0,True,0.021867818388580318,0.03220606781847915,9.261676175523126,0.20253265258018086,9.272943750442586,0.29864505530369634,8.783667162626017,9.739210676889595,LED Vertex Positions from Indexes.,../results/Control_91-92_March2017/Results_Illuminance__Tuned_VertexIndexPositionEvaluator_44_92_0.0147788148161_2019-06-29-22-11-26.csv,VertexIndexPositionEvaluator,../models/dome/dome_c.obj,8.0,../models/dome/dome_c.obj,1,"(0,0,0)","[9.396366254968294, 9.33193806588872, 9.263493301709836, 9.290485224734148, 9.29903106191536, 9.217775876317447, 9.376098962556812, 9.048657628979116, 9.029835986974689, 9.384044441265798, 9.28123562885054, 9.154998612599542, 9.082331266497812, 9.473697259798623, 9.447542754851389, 9.289728839131834, 9.002978329018152, 8.970785183828932, 8.945700103882556, 8.958080631545648, 9.161907358381052, 9.111334348756865, 9.255863719405646, 9.113352915037572, 9.05331175067724, 9.041077994664667, 9.012487338862915, 9.234946309152921, 9.29587063690057, 9.228040057479566, 9.531019932951521, 9.541692972464782, 9.645886681996746, 9.118182195075548, 9.484357758879788, 9.192066901637649, 9.144271721828709, 9.312917308781742, 8.878416377768325, 8.78366716262602, 8.865446080848045, 9.007900969632537, 9.076656705937236, 9.245856823457782, 9.314105613302411, 9.334256601672996, 9.160893033281976, 9.150506827800221, 9.059319082855673, 9.158175071050241, 9.141182017955922, 9.409979404060563, 9.602311997601394, 9.485262261005419, 9.349264398526174, 9.166460287574903, 9.328073082971635, 9.53751024572568, 9.566204444532964, 9.669461455433117, 9.739210676889593, 9.485802936762719, 9.44291044822561, 9.415088368260083, 9.307734054834047, 9.264651872034632, 9.086407769039559, 9.066574235821193, 8.941011166780967, 8.985117366042912, 9.090809616236127, 9.283917963961132, 9.30121093621634, 9.564694445797123, 9.498809440718256, 9.429225265725405, 9.507885010676675, 9.100585443730424, 9.150691293575305, 9.162251512152922, 9.174740743837111, 9.419931646669431, 9.380995692283225, 9.317280833293673, 9.066574235821191, 9.090809616236129, 9.226233753871412, 9.41422348037901, 9.283917963961136, 9.693412351733864, 9.564694445797123, 9.507885010676679, 9.368401025816791, 9.150691293575305, 9.100585443730422, 9.316237132685911, 9.400506049157876, 9.380995692283223, 9.317280833293674, 9.34926439852617, 9.485262261005417, 9.22623375387141, 9.414223480379007, 9.566204444532964, 9.693412351733862, 9.739210676889595, 9.669461455433119, 9.368401025816791, 9.485802936762715, 9.307734054834045, 9.316237132685913, 9.400506049157874, 9.26465187203463, 9.08640776903956, 8.878416377768328, 8.941011166780969, 8.985117366042914, 9.076656705937236, 9.007900969632539, 9.301210936216338, 9.245856823457784, 9.498809440718254, 9.429225265725405, 9.150506827800221, 9.160893033281976, 9.158175071050241, 9.162251512152917, 9.174740743837113, 9.419931646669431, 9.602311997601396, 9.409979404060564, 9.228040057479566, 9.166460287574905, 9.328073082971635, 9.53751024572568, 9.645886681996744, 9.541692972464782, 9.48435775887979, 9.11818219507555, 9.44291044822561, 9.415088368260083, 9.312917308781744, 9.144271721828707, 8.945700103882556, 8.970785183828935, 8.783667162626017, 8.865446080848045, 9.111334348756866, 9.161907358381052, 9.314105613302411, 9.334256601672998, 9.05331175067724, 9.059319082855675, 9.01248733886291, 9.141182017955922, 9.234946309152923, 9.295870636900572, 9.447542754851385, 9.531019932951523, 9.289728839131831, 9.37609896255681, 9.002978329018154, 9.192066901637652, 9.048657628979115, 9.263493301709834, 9.396366254968294, 9.029835986974689, 8.95808063154565, 9.281235628850542, 9.255863719405646, 9.113352915037572, 9.154998612599544, 9.041077994664667, 9.082331266497812, 9.217775876317443, 9.473697259798621, 9.331938065888718, 9.299031061915356, 9.384044441265798, 9.290485224734146]",2019-07-12-11-11-42,"[2, 5, 7, 9, 11, 12, 15, 17, 19, 21, 22, 23, 26, 27, 29, 30, 31, 33, 35, 39, 41, 43, 48, 50, 52, 56, 58, 60, 61, 62, 64, 65, 68, 69, 70, 72, 74, 76, 79, 80, 82, 84, 86, 89]","[[0.0, 8.0, 0.0], [2.611816, 7.513872, -0.848632], [0.0, 7.513872, -2.746232], [-2.611816, 7.513872, -0.848632], [-1.614192, 7.513872, 2.221744], [1.614192, 7.513872, 2.221744], [5.22364, 5.816608, -1.697264], [2.854576, 6.357232, -3.928984], [0.0, 5.816608, -5.492456], [-2.854576, 6.357232, -3.928984], [-5.22364, 5.816608, -1.697264], [-4.6188, 6.357232, 1.500736], [-3.228384, 5.816608, 4.443488], [0.0, 6.357232, 4.856496], [3.228384, 5.816608, 4.443488], [4.6188, 6.357232, 1.500736], [5.22364, 4.119344, -4.443488], [2.611816, 4.119344, -6.341088], [0.0, 3.577712, -7.155416], [-2.611816, 4.119344, -6.341088], [-5.22364, 4.119344, -4.443488], [-6.805208, 3.577712, -2.211144], [-6.837832, 4.119344, 0.52448], [-5.840208, 4.119344, 3.594864], [-4.205848, 3.577712, 5.788856], [-1.614192, 4.119344, 6.66524], [1.614192, 4.119344, 6.66524], [4.205848, 3.577712, 5.788856], [5.840208, 4.119344, 3.594864], [6.837832, 4.119344, 0.52448], [6.805208, 3.577712, -2.211144], [6.837832, 1.373112, -3.919008], [4.6188, 1.500736, -6.357232], [1.614192, 1.373112, -7.7142], [-1.614192, 1.373112, -7.7142], [-4.6188, 1.500736, -6.357232], [-6.837832, 1.373112, -3.919008], [-7.835456, 1.373112, -0.848632], [-7.473376, 1.500736, 2.428248], [-5.840208, 1.373112, 5.29212], [-3.228384, 1.373112, 7.18972], [0.0, 1.500736, 7.857976], [3.228384, 1.373112, 7.18972], [5.840208, 1.373112, 5.29212], [7.473376, 1.500736, 2.428248], [7.835456, 1.373112, -0.848632], [-7.835456, -1.373112, 0.848632], [-7.473376, -1.500736, -2.428248], [-5.840208, -1.373112, -5.29212], [-3.228384, -1.373112, -7.18972], [0.0, -1.500736, -7.857976], [3.228384, -1.373112, -7.18972], [5.840208, -1.373112, -5.29212], [7.473376, -1.500736, -2.428248], [7.835456, -1.373112, 0.848632], [6.837832, -1.373112, 3.919008], [4.6188, -1.500736, 6.357232], [1.614192, -1.373112, 7.7142], [-1.614192, -1.373112, 7.7142], [-4.6188, -1.500736, 6.357232], [-6.837832, -1.373112, 3.919008], [-6.805208, -3.577712, 2.211144], [-6.837832, -4.119344, -0.52448], [-5.840208, -4.119344, -3.594864], [-4.205848, -3.577712, -5.788856], [-1.614192, -4.119344, -6.66524], [1.614192, -4.119344, -6.66524], [4.205848, -3.577712, -5.788856], [5.840208, -4.119344, -3.594864], [6.837832, -4.119344, -0.52448], [6.805208, -3.577712, 2.211144], [5.22364, -4.119344, 4.443488], [2.611816, -4.119344, 6.341088], [0.0, -3.577712, 7.155416], [-2.611816, -4.119344, 6.341088], [-5.22364, -4.119344, 4.443488], [-4.6188, -6.357232, -1.500736], [-3.228384, -5.816608, -4.443488], [0.0, -6.357232, -4.856496], [3.228384, -5.816608, -4.443488], [4.6188, -6.357232, -1.500736], [5.22364, -5.816608, 1.697264], [2.854576, -6.357232, 3.928984], [0.0, -5.816608, 5.492456], [-2.854576, -6.357232, 3.928984], [-5.22364, -5.816608, 1.697264], [-1.614192, -7.513872, -2.221744], [1.614192, -7.513872, -2.221744], [2.611816, -7.513872, 0.848632], [0.0, -7.513872, 2.746232], [-2.611816, -7.513872, 0.848632], [0.0, -8.0, -0.0]]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
44,92,1666.9045648426788,0.0059139831550535866,0.0059139831550535866,1.0,True,0.028099237098462806,0.040403724802216434,9.26058091579266,0.2602152588223578,9.269134311043718,0.3745075518581924,8.766060320591272,9.88844216605644,LED Vertex Positions from Indexes.,../results/Control_91-92_March2017/Results_Illuminance__Tuned_VertexIndexPositionEvaluator_44_92_0.0147788148161_2019-06-29-22-11-26.csv,VertexIndexPositionEvaluator,../models/dome/dome_c.obj,8.0,../models/dome/dome_c.obj,1,"(0,0,0)","[9.502131491529937, 9.33193806588872, 9.44089585149112, 9.326285843883161, 9.29903106191536, 9.132986191892787, 9.376098962556812, 9.272972704053686, 9.08404779104974, 9.32043233910297, 9.142883104412661, 9.181470185527589, 9.060210333066818, 9.298169356193686, 9.226805273354419, 9.284411342276641, 9.30761198030538, 9.127154731742904, 9.125193657082773, 8.925672793084962, 9.02355612267024, 8.890011223474827, 9.047222920270421, 9.113352915037572, 9.230712936764244, 9.126619327995265, 9.167064427901948, 9.178201658413581, 9.134650911791661, 9.036878909991936, 9.240924182462113, 9.322172894004694, 9.372113526541355, 9.359469161769752, 9.725644770528355, 9.515025608211031, 9.401852793613074, 9.586169104317309, 8.970845995572093, 8.766060320591274, 8.767282238121656, 8.800136273084778, 8.806471802862871, 8.94803405468633, 9.0248217247562, 9.141743450376863, 9.289792806306258, 9.4324658113615, 9.304331343884435, 9.460291006324868, 9.265295918033752, 9.418064988813155, 9.58795780396315, 9.379434915194603, 9.235827501918815, 8.884891562212855, 9.00473154945184, 9.1552396586074, 9.170222290027258, 9.566135779798715, 9.562766271733782, 9.88844216605644, 9.820121826067378, 9.764844027857713, 9.662472489904323, 9.471281909498465, 9.191017455767888, 9.066388299632926, 8.849708908173525, 8.784016076816734, 8.88018715623204, 8.947861051493964, 8.944566399619166, 9.170259933094199, 9.25265137767129, 9.53499193595823, 9.685286862933419, 9.464442041703753, 9.540689133017954, 9.423957819491525, 9.354848113027877, 9.515377289617826, 9.485605079138814, 9.317094906359543, 9.066388299632926, 8.880187156232042, 8.933051700665132, 9.057348175282787, 8.947861051493964, 9.284260212538657, 9.170259933094199, 9.68528686293342, 9.769160193916026, 9.540689133017953, 9.464442041703752, 9.604322250228789, 9.607136105717126, 9.485605079138814, 9.317094906359547, 9.235827501918813, 9.3794349151946, 8.93305170066513, 9.057348175282785, 9.170222290027262, 9.284260212538655, 9.562766271733782, 9.566135779798717, 9.769160193916026, 9.888442166056436, 9.662472489904323, 9.604322250228789, 9.607136105717125, 9.471281909498463, 9.19101745576789, 8.970845995572095, 8.849708908173527, 8.784016076816735, 8.806471802862871, 8.800136273084778, 8.944566399619164, 8.948034054686332, 9.252651377671288, 9.534991935958228, 9.432465811361501, 9.289792806306256, 9.460291006324868, 9.423957819491521, 9.354848113027879, 9.515377289617822, 9.587957803963151, 9.418064988813157, 9.036878909991936, 8.884891562212855, 9.004731549451838, 9.1552396586074, 9.372113526541355, 9.322172894004694, 9.725644770528357, 9.359469161769754, 9.82012182606738, 9.764844027857713, 9.58616910431731, 9.401852793613074, 9.125193657082773, 9.127154731742907, 8.766060320591272, 8.767282238121656, 8.890011223474827, 9.023556122670241, 9.0248217247562, 9.141743450376861, 9.230712936764242, 9.304331343884437, 9.167064427901945, 9.26529591803375, 9.178201658413583, 9.134650911791663, 9.226805273354415, 9.240924182462113, 9.284411342276638, 9.37609896255681, 9.307611980305381, 9.515025608211033, 9.272972704053684, 9.440895851491119, 9.502131491529937, 9.084047791049741, 8.925672793084964, 9.142883104412663, 9.047222920270421, 9.113352915037572, 9.18147018552759, 9.126619327995266, 9.060210333066818, 9.132986191892785, 9.298169356193684, 9.331938065888718, 9.299031061915356, 9.32043233910297, 9.32628584388316]",2019-07-12-11-37-42,"[2, 5, 7, 9, 11, 12, 15, 17, 19, 21, 22, 23, 26, 27, 29, 30, 31, 33, 35, 39, 41, 44, 47, 50, 52, 56, 58, 60, 61, 62, 64, 65, 68, 69, 70, 72, 74, 76, 79, 80, 82, 84, 86, 89]","[[0.0, 8.0, 0.0], [2.611816, 7.513872, -0.848632], [0.0, 7.513872, -2.746232], [-2.611816, 7.513872, -0.848632], [-1.614192, 7.513872, 2.221744], [1.614192, 7.513872, 2.221744], [5.22364, 5.816608, -1.697264], [2.854576, 6.357232, -3.928984], [0.0, 5.816608, -5.492456], [-2.854576, 6.357232, -3.928984], [-5.22364, 5.816608, -1.697264], [-4.6188, 6.357232, 1.500736], [-3.228384, 5.816608, 4.443488], [0.0, 6.357232, 4.856496], [3.228384, 5.816608, 4.443488], [4.6188, 6.357232, 1.500736], [5.22364, 4.119344, -4.443488], [2.611816, 4.119344, -6.341088], [0.0, 3.577712, -7.155416], [-2.611816, 4.119344, -6.341088], [-5.22364, 4.119344, -4.443488], [-6.805208, 3.577712, -2.211144], [-6.837832, 4.119344, 0.52448], [-5.840208, 4.119344, 3.594864], [-4.205848, 3.577712, 5.788856], [-1.614192, 4.119344, 6.66524], [1.614192, 4.119344, 6.66524], [4.205848, 3.577712, 5.788856], [5.840208, 4.119344, 3.594864], [6.837832, 4.119344, 0.52448], [6.805208, 3.577712, -2.211144], [6.837832, 1.373112, -3.919008], [4.6188, 1.500736, -6.357232], [1.614192, 1.373112, -7.7142], [-1.614192, 1.373112, -7.7142], [-4.6188, 1.500736, -6.357232], [-6.837832, 1.373112, -3.919008], [-7.835456, 1.373112, -0.848632], [-7.473376, 1.500736, 2.428248], [-5.840208, 1.373112, 5.29212], [-3.228384, 1.373112, 7.18972], [0.0, 1.500736, 7.857976], [3.228384, 1.373112, 7.18972], [5.840208, 1.373112, 5.29212], [7.473376, 1.500736, 2.428248], [7.835456, 1.373112, -0.848632], [-7.835456, -1.373112, 0.848632], [-7.473376, -1.500736, -2.428248], [-5.840208, -1.373112, -5.29212], [-3.228384, -1.373112, -7.18972], [0.0, -1.500736, -7.857976], [3.228384, -1.373112, -7.18972], [5.840208, -1.373112, -5.29212], [7.473376, -1.500736, -2.428248], [7.835456, -1.373112, 0.848632], [6.837832, -1.373112, 3.919008], [4.6188, -1.500736, 6.357232], [1.614192, -1.373112, 7.7142], [-1.614192, -1.373112, 7.7142], [-4.6188, -1.500736, 6.357232], [-6.837832, -1.373112, 3.919008], [-6.805208, -3.577712, 2.211144], [-6.837832, -4.119344, -0.52448], [-5.840208, -4.119344, -3.594864], [-4.205848, -3.577712, -5.788856], [-1.614192, -4.119344, -6.66524], [1.614192, -4.119344, -6.66524], [4.205848, -3.577712, -5.788856], [5.840208, -4.119344, -3.594864], [6.837832, -4.119344, -0.52448], [6.805208, -3.577712, 2.211144], [5.22364, -4.119344, 4.443488], [2.611816, -4.119344, 6.341088], [0.0, -3.577712, 7.155416], [-2.611816, -4.119344, 6.341088], [-5.22364, -4.119344, 4.443488], [-4.6188, -6.357232, -1.500736], [-3.228384, -5.816608, -4.443488], [0.0, -6.357232, -4.856496], [3.228384, -5.816608, -4.443488], [4.6188, -6.357232, -1.500736], [5.22364, -5.816608, 1.697264], [2.854576, -6.357232, 3.928984], [0.0, -5.816608, 5.492456], [-2.854576, -6.357232, 3.928984], [-5.22364, -5.816608, 1.697264], [-1.614192, -7.513872, -2.221744], [1.614192, -7.513872, -2.221744], [2.611816, -7.513872, 0.848632], [0.0, -7.513872, 2.746232], [-2.611816, -7.513872, 0.848632], [0.0, -8.0, -0.0]]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
