0,0,0,0
1,1,0,0
2,2,0,1
3,3,0,0
4,4,0,0
5,5,0,1
6,6,0,0
7,7,0,1
8,8,0,0
9,9,0,1
10,10,0,0
11,11,0,1
12,12,0,1
13,13,0,0
14,14,0,0
15,15,0,1
16,16,0,0
17,17,0,1
18,18,0,0
19,19,0,1
20,20,0,0
21,21,0,1
22,22,0,1
23,23,0,1
24,24,0,0
25,25,0,0
26,26,0,1
27,27,0,1
28,28,0,0
29,29,0,1
30,30,0,1
31,31,0,1
32,32,0,0
33,33,0,1
34,34,0,0
35,35,0,1
36,36,0,0
37,37,0,0
38,38,0,0
39,39,0,1
40,40,0,0
41,41,0,1
42,42,0,0
43,43,0,0
44,44,0,1
45,45,0,0
46,46,0,0
47,47,0,1
48,48,0,0
49,49,0,0
50,50,0,1
51,51,0,0
52,52,0,1
53,53,0,0
54,54,0,0
55,55,0,0
56,56,0,1
57,57,0,0
58,58,0,1
59,59,0,0
60,60,0,1
61,61,0,1
62,62,0,1
63,63,0,0
64,64,0,1
65,65,0,1
66,66,0,0
67,67,0,0
68,68,0,1
69,69,0,1
70,70,0,1
71,71,0,0
72,72,0,1
73,73,0,0
74,74,0,1
75,75,0,0
76,76,0,1
77,77,0,0
78,78,0,0
79,79,0,1
80,80,0,1
81,81,0,0
82,82,0,1
83,83,0,0
84,84,0,1
85,85,0,0
86,86,0,1
87,87,0,0
88,88,0,0
89,89,0,1
90,90,0,0
91,91,0,0
